Price,Discount,Revenue
419.19,0.0,419.19
222.37,0.09,202.3567
1107.65,0.0,6645.9
288.84,0.0,1444.2
191.27,0.0,191.27
200.47,0.37,505.1844
115.09,0.08,529.414
118.51,0.0,118.51
30.23,0.0,60.46
285.41,0.0,285.41
27.53,0.0,27.53
16.59,0.0,16.59
1417.28,0.0,5669.12
262.59,0.27,191.6907
204.56,0.0,204.56
1884.25,0.41,3335.1225
799.61,0.29,1135.4462
29.9,0.0,29.9
84.81,0.0,424.05
314.05,0.0,2198.35
694.07,0.0,694.07
253.74,0.0,253.74
610.83,0.0,3054.15
836.92,0.0,1673.84
352.35,0.0,704.7
222.19,0.0,222.19
1078.15,0.0,4312.6
425.3,0.0,850.6
11.25,0.0,11.25
452.26,0.0,452.26
10.24,0.34,6.7584
171.47,0.27,751.0386
68.52,0.0,205.56
401.38,0.19,325.1178
50.02,0.0,50.02
1895.22,0.35,1231.893
32.95,0.0,65.9
324.62,0.1,292.158
700.26,0.0,700.26
647.89,0.0,1943.67
145.43,0.18,119.2526
53.62,0.0,53.62
93.51,0.0,93.51
46.38,0.11,41.2782
221.45,0.1,597.915
30.98,0.0,30.98
188.5,0.0,377.0
120.87,0.0,604.35
590.56,0.0,1181.12
71.4,0.17,118.524
336.83,0.0,1347.32
1866.41,0.0,1866.41
208.49,0.0,833.96
11.54,0.0,11.54
247.54,0.0,247.54
179.63,0.0,179.63
34.7,0.0,69.4
609.24,0.0,1827.72
145.41,0.0,145.41
674.13,0.0,2022.39
231.16,0.0,1155.8
50.02,0.5,125.05
82.09,0.0,82.09
51.91,0.15,44.1235
141.25,0.0,141.25
321.69,0.0,643.38
125.66,0.0,879.62
76.23,0.0,228.69
26.4,0.1,23.76
269.82,0.0,539.64
443.33,0.0,1329.99
708.35,0.42,410.843
54.2,0.0,162.6
71.16,0.0,142.32
136.44,0.47,72.3132
33.2,0.0,33.2
299.13,0.0,1794.78
289.37,0.0,868.11
733.78,0.0,1467.56
38.28,0.0,38.28
293.59,0.0,587.18
259.53,0.13,451.5822
943.59,0.0,3774.36
299.73,0.0,899.19
543.2,0.0,543.2
221.34,0.08,203.6328
57.27,0.0,400.89
293.75,0.0,881.25
76.64,0.0,229.92
66.79,0.0,133.58
1911.4,0.0,3822.8
1126.07,0.0,2252.14
23.88,0.0,71.64
216.74,0.13,188.5638
453.83,0.18,1488.5624
86.08,0.0,172.16
418.65,0.0,837.3
59.33,0.0,237.32
64.23,0.0,321.15
57.43,0.0,57.43
91.1,0.0,182.2
250.87,0.0,752.61
142.62,0.14,245.3064
1915.83,0.0,7663.32
145.22,0.0,145.22
90.05,0.0,360.2
34.51,0.37,65.2239
40.5,0.09,36.855
226.58,0.09,412.3756
61.89,0.19,300.7854
670.24,0.0,1340.48
44.43,0.0,88.86
203.99,0.0,203.99
491.98,0.0,491.98
236.76,0.0,2130.84
247.1,0.0,247.1
26.08,0.0,26.08
138.94,0.0,138.94
51.04,0.0,51.04
153.92,0.0,615.68
223.41,0.07,415.5426
1375.31,0.0,1375.31
544.08,0.39,331.8888
126.47,0.0,505.88
279.77,0.42,324.5332
129.85,0.13,112.9695
115.39,0.06,108.4666
60.0,0.08,110.4
111.61,0.12,294.6504
135.71,0.2,108.568
379.56,0.35,246.714
1060.74,0.0,1060.74
752.01,0.0,1504.02
1494.76,0.07,1390.1268
719.46,0.0,719.46
464.0,0.0,464.0
1604.97,0.06,1508.6718
187.15,0.0,187.15
36.23,0.0,72.46
15.64,0.48,8.1328
31.09,0.0,62.18
38.24,0.0,229.44
29.48,0.42,85.492
12.93,0.0,12.93
49.8,0.07,46.314
9.14,0.0,9.14
597.17,0.14,513.5662
51.75,0.0,155.25
55.75,0.0,55.75
690.9,0.27,1513.071
76.9,0.11,68.441
247.19,0.0,494.38
34.26,0.0,68.52
1191.9,0.17,989.277
493.77,0.0,493.77
146.64,0.0,293.28
46.03,0.19,111.8529
18.75,0.0,37.5
1738.01,0.0,3476.02
147.9,0.0,295.8
47.1,0.0,47.1
85.32,0.0,597.24
122.96,0.0,368.88
630.69,0.0,1261.38
129.51,0.0,259.02
52.84,0.18,43.3288
25.43,0.16,21.3612
38.2,0.0,38.2
150.9,0.0,452.7
26.98,0.0,80.94
459.05,0.29,325.9255
314.07,0.0,942.21
359.18,0.0,359.18
37.38,0.0,37.38
418.42,0.0,836.84
331.82,0.0,331.82
442.68,0.0,442.68
242.29,0.09,220.4839
55.12,0.16,185.2032
800.86,0.0,800.86
58.57,0.0,58.57
417.61,0.0,417.61
35.85,0.26,53.058
1811.38,0.0,5434.14
231.73,0.08,213.1916
38.69,0.0,38.69
143.1,0.0,143.1
506.35,0.0,1519.05
795.96,0.28,3438.5472
1407.15,0.46,3039.444
647.97,0.0,3887.82
24.33,0.33,16.3011
259.81,0.36,498.8352
355.48,0.09,646.9736
377.83,0.0,1133.49
1882.16,0.0,1882.16
20.65,0.0,123.9
764.77,0.0,764.77
15.07,0.0,90.42
1867.66,0.0,9338.3
300.09,0.0,600.18
141.16,0.3,296.436
38.23,0.0,114.69
232.93,0.0,931.72
17.08,0.14,29.3776
48.23,0.0,48.23
112.58,0.11,200.3924
89.88,0.13,234.5868
341.6,0.38,211.792
424.21,0.0,2121.05
553.77,0.0,4430.16
36.95,0.0,36.95
248.78,0.41,293.5604
304.3,0.0,608.6
794.78,0.0,1589.56
482.08,0.0,964.16
635.13,0.17,1054.3158
116.33,0.0,348.99
19.11,0.0,57.33
437.73,0.0,875.46
669.29,0.0,2007.87
393.94,0.0,787.88
354.19,0.0,354.19
900.29,0.17,2241.7221
160.21,0.05,304.399
17.41,0.0,17.41
79.45,0.0,79.45
342.39,0.36,219.1296
114.42,0.0,228.84
133.38,0.0,533.52
605.12,0.0,605.12
37.81,0.41,22.3079
60.74,0.0,303.7
30.73,0.19,24.8913
25.06,0.0,75.18
59.88,0.0,59.88
10.06,0.49,10.2612
21.23,0.0,84.92
1871.89,0.0,9359.45
279.75,0.15,237.7875
137.64,0.0,412.92
296.93,0.0,593.86
1218.64,0.0,2437.28
32.88,0.0,32.88
57.13,0.15,48.5605
199.9,0.27,1021.489
773.2,0.0,2319.6
239.41,0.0,478.82
77.91,0.0,77.91
282.12,0.45,155.166
263.41,0.0,263.41
490.72,0.0,981.44
70.92,0.0,496.44
257.14,0.0,514.28
272.1,0.0,1632.6
144.44,0.0,433.32
319.22,0.0,1915.32
42.7,0.06,80.276
56.03,0.0,56.03
473.75,0.0,947.5
535.84,0.0,535.84
36.89,0.36,70.8288
71.25,0.14,61.275
42.67,0.11,37.9763
1853.08,0.0,5559.24
886.44,0.0,1772.88
122.54,0.0,612.7
108.32,0.0,216.64
606.85,0.0,1820.55
768.63,0.0,2305.89
1535.16,0.0,4605.48
192.77,0.0,963.85
259.74,0.16,218.1816
254.01,0.29,360.6942
242.85,0.36,621.696
519.88,0.0,519.88
488.41,0.06,459.1054
109.85,0.33,147.199
152.9,0.0,152.9
145.9,0.0,291.8
1820.97,0.15,1547.8245
47.64,0.0,95.28
481.54,0.18,1184.5884
8.08,0.0,32.32
14.41,0.19,23.3442
302.55,0.0,302.55
158.22,0.0,316.44
113.44,0.0,226.88
33.44,0.0,200.64
195.45,0.0,195.45
645.87,0.13,561.9069
158.18,0.1,569.448
48.47,0.0,145.41
224.77,0.0,224.77
33.24,0.0,66.48
1495.19,0.0,1495.19
391.52,0.42,454.1632
82.43,0.0,164.86
392.99,0.0,1178.97
115.18,0.1,207.324
32.54,0.0,32.54
94.71,0.0,189.42
568.35,0.17,943.461
764.06,0.0,4584.36
1135.69,0.0,5678.45
