Product_Category,Product_Sub_Category
Home & Garden,Gardening Tools
Electronics,Laptops
Electronics,Gaming Consoles
Electronics,Headphones
Clothing,Shoes
Beauty,Personal Care
Books,Non-Fiction
Home & Garden,Furniture
Beauty,Skincare
Electronics,Smart Watches
Sports,Water Sports
Sports,Winter Sports
Electronics,Tablets
Home & Garden,Bedding
Clothing,Accessories
Clothing,Mens Shirts
Home & Garden,Kitchen Appliances
Clothing,Jeans
Electronics,Smartphones
Home & Garden,Storage
Books,Fiction
Books,Magazines
Sports,Fitness Equipment
Home & Garden,Home Decor
Clothing,Womens Dresses
Books,Educational
Clothing,Sportswear
Sports,Team Sports
Beauty,Makeup
Books,Comics
Beauty,Fragrances
Sports,Outdoor Gear
Sports,Cycling
Beauty,Beauty Tools
Beauty,Hair Care
Books,Children Books
